Common Name,Scientific Name,State,Counts,Every Year,Total Years,Years
Accipiter sp.,Accipiter sp.,WA,53,false,1,"""2022"""
alcid sp.,Alcidae sp.,WA,167,false,1,"""2022"""
American Bittern,Botaurus lentiginosus,WA,213,false,1,"""2022"""
American Crow,Corvus brachyrhynchos,WA,34477,false,1,"""2022"""
American Dipper,Cinclus mexicanus,WA,192,false,1,"""2022"""
American Goldfinch,Spinus tristis,WA,7653,false,1,"""2022"""
American Kestrel,Falco sparverius,WA,504,false,1,"""2022"""
American Pipit,Anthus rubescens,WA,398,false,1,"""2022"""
American Robin,Turdus migratorius,WA,26192,false,1,"""2022"""
American Wigeon,Mareca americana,WA,5155,false,1,"""2022"""
Annas Hummingbird,Calypte anna,WA,23037,false,1,"""2022"""
Aythya sp.,Aythya sp.,WA,55,false,1,"""2022"""
Bald Eagle,Haliaeetus leucocephalus,WA,11526,false,1,"""2022"""
Barrows Goldeneye,Bucephala islandica,WA,1277,false,1,"""2022"""
Barn Swallow,Hirundo rustica,WA,4983,false,1,"""2022"""
Band-tailed Pigeon,Patagioenas fasciata,WA,2727,false,1,"""2022"""
Belted Kingfisher,Megaceryle alcyon,WA,4750,false,1,"""2022"""
Bewicks Wren,Thryomanes bewickii,WA,16475,false,1,"""2022"""
bird sp.,Aves sp.,WA,390,false,1,"""2022"""
Black-billed Magpie,Pica hudsonia,WA,64,false,1,"""2022"""
Black-capped Chickadee,Poecile atricapillus,WA,27227,false,1,"""2022"""
blackbird sp.,Icteridae sp.,WA,55,false,1,"""2022"""
Black Phoebe,Sayornis nigricans,WA,176,false,1,"""2022"""
Black Scoter,Melanitta americana,WA,151,false,1,"""2022"""
Black Turnstone,Arenaria melanocephala,WA,283,false,1,"""2022"""
Brown-headed Cowbird,Molothrus ater,WA,2914,false,1,"""2022"""
Bonapartes Gull,Chroicocephalus philadelphia,WA,500,false,1,"""2022"""
Brandts Cormorant,Urile penicillatus,WA,903,false,1,"""2022"""
Brant (Black),Branta bernicla nigricans,WA,1028,false,1,"""2022"""
Brant (Black),Branta bernicla,WA,1028,false,1,"""2022"""
Brant (Gray-bellied),Branta bernicla (Gray-bellied),WA,21,false,1,"""2022"""
Barred Owl,Strix varia,WA,1111,false,1,"""2022"""
Brewers Blackbird,Euphagus cyanocephalus,WA,306,false,1,"""2022"""
Brown Creeper,Certhia americana,WA,6529,false,1,"""2022"""
Barn Owl (American),Tyto alba [tuidara Group],WA,268,false,1,"""2022"""
Barn Owl (American),Tyto alba,WA,268,false,1,"""2022"""
Bufflehead,Bucephala albeola,WA,7958,false,1,"""2022"""
Bushtit,Psaltriparus minimus,WA,8188,false,1,"""2022"""
Bushtit (Pacific),Psaltriparus minimus [minimus Group],WA,1178,false,1,"""2022"""
Cackling Goose,Branta hutchinsii,WA,1068,false,1,"""2022"""
Cackling Goose (minima),Branta hutchinsii minima,WA,37,false,1,"""2022"""
Cackling Goose (Taverners),Branta hutchinsii taverneri,WA,29,false,1,"""2022"""
California Gull,Larus californicus,WA,1963,false,1,"""2022"""
peep sp.,Calidris sp. (peep sp.),WA,135,false,1,"""2022"""
Calidris sp.,Calidris sp.,WA,18,false,1,"""2022"""
California Quail,Callipepla californica,WA,190,false,1,"""2022"""
Canada Goose,Branta canadensis,WA,13012,false,1,"""2022"""
Canada Goose (canadensis Group),Branta canadensis [canadensis Group],WA,31,false,1,"""2022"""
Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva,WA,5,false,1,"""2022"""
Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima,WA,303,false,1,"""2022"""
Canvasback,Aythya valisineria,WA,490,false,1,"""2022"""
Catharus sp.,Catharus sp.,WA,13,false,1,"""2022"""
Cedar Waxwing,Bombycilla cedrorum,WA,6075,false,1,"""2022"""
Chestnut-backed Chickadee,Poecile rufescens,WA,13065,false,1,"""2022"""
chickadee sp.,Poecile sp.,WA,257,false,1,"""2022"""
Cinnamon Teal,Spatula cyanoptera,WA,644,false,1,"""2022"""
Clarks Grebe,Aechmophorus clarkii,WA,42,false,1,"""2022"""
Common Goldeneye,Bucephala clangula,WA,3390,false,1,"""2022"""
Common Loon,Gavia immer,WA,766,false,1,"""2022"""
Common Merganser,Mergus merganser,WA,5447,false,1,"""2022"""
Common Merganser (North American),Mergus merganser americanus,WA,182,false,1,"""2022"""
Common Murre,Uria aalge,WA,348,false,1,"""2022"""
Common Raven,Corvus corax,WA,2709,false,1,"""2022"""
Common Redpoll,Acanthis flammea,WA,478,false,1,"""2022"""
Common Redpoll (flammea),Acanthis flammea flammea,WA,14,false,1,"""2022"""
Coopers Hawk,Accipiter cooperii,WA,4119,false,1,"""2022"""
cormorant sp.,Phalacrocoracidae sp.,WA,672,false,1,"""2022"""
California Scrub-Jay,Aphelocoma californica,WA,1132,false,1,"""2022"""
Common x Barrows Goldeneye (hybrid),Bucephala clangula x islandica,WA,1,false,1,"""2022"""
dabbling duck sp.,Anatidae sp. (dabbling duck sp.),WA,197,false,1,"""2022"""
Dark-eyed Junco,Junco hyemalis,WA,27761,false,1,"""2022"""
Dark-eyed Junco (cismontanus),Junco hyemalis cismontanus,WA,30,false,1,"""2022"""
Dark-eyed Junco (Slate-colored/cismontanus),Junco hyemalis hyemalis/carolinensis/cismontanus,WA,13,false,1,"""2022"""
Dark-eyed Junco (Oregon),Junco hyemalis [oreganus Group],WA,7754,false,1,"""2022"""
Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,WA,45,false,1,"""2022"""
Surf/Black Scoter,Melanitta perspicillata/americana,WA,16,false,1,"""2022"""
diurnal raptor sp.,Accipitriformes/Falconiformes sp.,WA,103,false,1,"""2022"""
Double-crested Cormorant,Nannopterum auritum,WA,8013,false,1,"""2022"""
Domestic goose sp. (Domestic type),Anser sp. (Domestic type),WA,188,false,1,"""2022"""
pigeon/dove sp.,Columbidae sp.,WA,97,false,1,"""2022"""
Short-billed/Long-billed Dowitcher,Limnodromus griseus/scolopaceus,WA,16,false,1,"""2022"""
Downy Woodpecker,Dryobates pubescens,WA,6601,false,1,"""2022"""
Downy Woodpecker (Pacific),Dryobates pubescens gairdnerii/turati,WA,611,false,1,"""2022"""
duck sp.,Anatinae sp.,WA,531,false,1,"""2022"""
Dunlin,Calidris alpina,WA,147,false,1,"""2022"""
Eared Grebe,Podiceps nigricollis,WA,104,false,1,"""2022"""
Eurasian Collared-Dove,Streptopelia decaocto,WA,543,false,1,"""2022"""
European Starling,Sturnus vulgaris,WA,10228,false,1,"""2022"""
Eurasian Wigeon,Mareca penelope,WA,337,false,1,"""2022"""
Evening Grosbeak,Coccothraustes vespertinus,WA,318,false,1,"""2022"""
falcon sp.,Falco sp.,WA,38,false,1,"""2022"""
finch sp.,Fringillidae sp.,WA,109,false,1,"""2022"""
Fox Sparrow (Sooty),Passerella iliaca [unalaschcensis Group],WA,2918,false,1,"""2022"""
Fox Sparrow (Sooty),Passerella iliaca,WA,2918,false,1,"""2022"""
Gadwall,Mareca strepera,WA,8511,false,1,"""2022"""
Glaucous Gull,Larus hyperboreus,WA,149,false,1,"""2022"""
Glaucous-winged Gull,Larus glaucescens,WA,9737,false,1,"""2022"""
Green-winged Teal (American),Anas crecca carolinensis,WA,3957,false,1,"""2022"""
Green-winged Teal (American),Anas crecca,WA,3957,false,1,"""2022"""
Green-winged Teal (Eurasian x American),Anas crecca crecca x carolinensis,WA,22,false,1,"""2022"""
Golden-crowned Kinglet,Regulus satrapa,WA,6141,false,1,"""2022"""
Golden-crowned Sparrow,Zonotrichia atricapilla,WA,4592,false,1,"""2022"""
goose sp.,Anser/Branta sp.,WA,76,false,1,"""2022"""
Graylag Goose (Domestic type),Anser anser (Domestic type),WA,19,false,1,"""2022"""
Great Blue Heron (Great Blue),Ardea herodias [herodias Group],WA,12501,false,1,"""2022"""
Great Blue Heron (Great Blue),Ardea herodias,WA,12501,false,1,"""2022"""
grebe sp.,Podicipedidae sp.,WA,136,false,1,"""2022"""
Great Egret,Ardea alba,WA,11,false,1,"""2022"""
Greater Scaup,Aythya marila,WA,802,false,1,"""2022"""
Greater Yellowlegs,Tringa melanoleuca,WA,313,false,1,"""2022"""
Great Horned Owl,Bubo virginianus,WA,158,false,1,"""2022"""
Green Heron,Butorides virescens,WA,860,false,1,"""2022"""
Canada Jay,Perisoreus canadensis,WA,124,false,1,"""2022"""
Greater White-fronted Goose,Anser albifrons,WA,697,false,1,"""2022"""
Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa,WA,27,false,1,"""2022"""
Hairy Woodpecker,Dryobates villosus,WA,1833,false,1,"""2022"""
Hairy Woodpecker (Pacific),Dryobates villosus [harrisi Group],WA,202,false,1,"""2022"""
Harlequin Duck,Histrionicus histrionicus,WA,639,false,1,"""2022"""
hawk sp.,Accipitridae sp. (hawk sp.),WA,104,false,1,"""2022"""
Heermanns Gull,Larus heermanni,WA,259,false,1,"""2022"""
Herring Gull (American),Larus argentatus smithsonianus,WA,286,false,1,"""2022"""
Herring Gull (American),Larus argentatus,WA,286,false,1,"""2022"""
Hermit Thrush,Catharus guttatus,WA,931,false,1,"""2022"""
Hoary Redpoll,Acanthis hornemanni,WA,165,false,1,"""2022"""
Hoary Redpoll (exilipes),Acanthis hornemanni exilipes,WA,8,false,1,"""2022"""
Hooded Merganser,Lophodytes cucullatus,WA,3389,false,1,"""2022"""
Horned Grebe,Podiceps auritus,WA,2077,false,1,"""2022"""
Horned Lark,Eremophila alpestris,WA,78,false,1,"""2022"""
House Finch,Haemorhous mexicanus,WA,17688,false,1,"""2022"""
House Sparrow,Passer domesticus,WA,4296,false,1,"""2022"""
hummingbird sp.,Trochilidae sp.,WA,553,false,1,"""2022"""
Huttons Vireo,Vireo huttoni,WA,1163,false,1,"""2022"""
jay sp.,Corvidae sp. (jay sp.),WA,10,false,1,"""2022"""
Killdeer,Charadrius vociferus,WA,3968,false,1,"""2022"""
gull sp.,Larinae sp.,WA,2656,false,1,"""2022"""
Larus sp.,Larus sp.,WA,1206,false,1,"""2022"""
Least Sandpiper,Calidris minutilla,WA,608,false,1,"""2022"""
Lesser Goldfinch,Spinus psaltria,WA,51,false,1,"""2022"""
Lesser Scaup,Aythya affinis,WA,1240,false,1,"""2022"""
Lincolns Sparrow,Melospiza lincolnii,WA,582,false,1,"""2022"""
Long-billed Dowitcher,Limnodromus scolopaceus,WA,145,false,1,"""2022"""
loon sp.,Gavia sp.,WA,164,false,1,"""2022"""
Long-tailed Duck,Clangula hyemalis,WA,31,false,1,"""2022"""
Mallard (Domestic type),Anas platyrhynchos (Domestic type),WA,949,false,1,"""2022"""
Mallard,Anas platyrhynchos,WA,18426,false,1,"""2022"""
Mandarin Duck,Aix galericulata,WA,173,false,1,"""2022"""
Marbled Murrelet,Brachyramphus marmoratus,WA,385,false,1,"""2022"""
Marsh Wren,Cistothorus palustris,WA,4083,false,1,"""2022"""
merganser sp.,Mergellus/Lophodytes/Mergus sp.,WA,2,false,1,"""2022"""
Merlin,Falco columbarius,WA,1116,false,1,"""2022"""
Merlin (Taiga),Falco columbarius columbarius,WA,1,false,1,"""2022"""
Short-billed Gull,Larus brachyrhynchus,WA,2481,false,1,"""2022"""
Mourning Dove,Zenaida macroura,WA,641,false,1,"""2022"""
Muscovy Duck (Domestic type),Cairina moschata (Domestic type),WA,27,false,1,"""2022"""
Herring x Glaucous Gull (hybrid),Larus argentatus x hyperboreus,WA,2,false,1,"""2022"""
Northern Pygmy-Owl,Glaucidium gnoma,WA,23,false,1,"""2022"""
Northern Flicker,Colaptes auratus,WA,18421,false,1,"""2022"""
Northern Flicker (Red-shafted),Colaptes auratus [cafer Group],WA,1870,false,1,"""2022"""
Northern Flicker (Yellow-shafted x Red-shafted),Colaptes auratus luteus x cafer,WA,119,false,1,"""2022"""
Northern Harrier,Circus hudsonius,WA,367,false,1,"""2022"""
Northern Pintail,Anas acuta,WA,834,false,1,"""2022"""
Northern Shoveler,Spatula clypeata,WA,3233,false,1,"""2022"""
Northern Shrike,Lanius borealis,WA,60,false,1,"""2022"""
Northern Saw-whet Owl,Aegolius acadicus,WA,48,false,1,"""2022"""
Orange-crowned Warbler,Leiothlypis celata,WA,3183,false,1,"""2022"""
Orange-crowned Warbler (lutescens),Leiothlypis celata lutescens,WA,280,false,1,"""2022"""
owl sp.,Strigiformes sp.,WA,13,false,1,"""2022"""
Pacific Loon,Gavia pacifica,WA,337,false,1,"""2022"""
Pacific Wren,Troglodytes pacificus,WA,4384,false,1,"""2022"""
Pacific Wren (pacificus Group),Troglodytes pacificus [pacificus Group],WA,3,false,1,"""2022"""
passerine sp.,Passeriformes sp.,WA,669,false,1,"""2022"""
Pelagic Cormorant,Urile pelagicus,WA,1535,false,1,"""2022"""
Peregrine Falcon,Falco peregrinus,WA,560,false,1,"""2022"""
Pied-billed Grebe,Podilymbus podiceps,WA,7165,false,1,"""2022"""
Pigeon Guillemot,Cepphus columba,WA,1840,false,1,"""2022"""
Pileated Woodpecker,Dryocopus pileatus,WA,3264,false,1,"""2022"""
Pine Siskin,Spinus pinus,WA,7811,false,1,"""2022"""
Pine Siskin (green morph),Spinus pinus (green morph),WA,5,false,1,"""2022"""
Purple Finch,Haemorhous purpureus,WA,3697,false,1,"""2022"""
Purple Finch (Western),Haemorhous purpureus californicus,WA,428,false,1,"""2022"""
Red-breasted Merganser,Mergus serrator,WA,1212,false,1,"""2022"""
Red-breasted Nuthatch,Sitta canadensis,WA,9547,false,1,"""2022"""
Red-breasted Sapsucker,Sphyrapicus ruber,WA,2181,false,1,"""2022"""
Red Crossbill,Loxia curvirostra,WA,178,false,1,"""2022"""
Red Crossbill (Western Hemlock or type 3),Loxia curvirostra (type 3),WA,45,false,1,"""2022"""
Redhead,Aythya americana,WA,397,false,1,"""2022"""
Red Junglefowl (Domestic type),Gallus gallus (Domestic type),WA,21,false,1,"""2022"""
Common/Hoary Redpoll,Acanthis flammea/hornemanni,WA,2,false,1,"""2022"""
Red-necked Grebe,Podiceps grisegena,WA,1375,false,1,"""2022"""
Red-tailed Hawk (Harlans),Buteo jamaicensis harlani,WA,5068,false,1,"""2022"""
Red-tailed Hawk (Harlans),Buteo jamaicensis,WA,5068,false,1,"""2022"""
Red-tailed Hawk (calurus/alascensis),Buteo jamaicensis calurus/alascensis,WA,444,false,1,"""2022"""
Red-throated Loon,Gavia stellata,WA,334,false,1,"""2022"""
Red-winged Blackbird,Agelaius phoeniceus,WA,10496,false,1,"""2022"""
Red-winged Blackbird (Red-winged),Agelaius phoeniceus [phoeniceus Group],WA,338,false,1,"""2022"""
Rhinoceros Auklet,Cerorhinca monocerata,WA,1276,false,1,"""2022"""
Ring-billed Gull,Larus delawarensis,WA,1914,false,1,"""2022"""
Ring-necked Duck,Aythya collaris,WA,4252,false,1,"""2022"""
Ring-necked Pheasant,Phasianus colchicus,WA,498,false,1,"""2022"""
Ring-necked Pheasant (Ring-necked),Phasianus colchicus [colchicus Group],WA,13,false,1,"""2022"""
Red-naped x Red-breasted Sapsucker (hybrid),Sphyrapicus nuchalis x ruber,WA,20,false,1,"""2022"""
Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),WA,11551,false,1,"""2022"""
Rock Pigeon (Feral Pigeon),Columba livia,WA,11551,false,1,"""2022"""
Rough-legged Hawk,Buteo lagopus,WA,87,false,1,"""2022"""
Ruby-crowned Kinglet,Corthylio calendula,WA,5331,false,1,"""2022"""
Ruddy Duck,Oxyura jamaicensis,WA,375,false,1,"""2022"""
Sanderling,Calidris alba,WA,166,false,1,"""2022"""
sapsucker sp.,Sphyrapicus sp.,WA,18,false,1,"""2022"""
Savannah Sparrow,Passerculus sandwichensis,WA,3718,false,1,"""2022"""
Greater/Lesser Scaup,Aythya marila/affinis,WA,482,false,1,"""2022"""
scoter sp.,Melanitta sp.,WA,25,false,1,"""2022"""
Short-eared Owl,Asio flammeus,WA,52,false,1,"""2022"""
Short-eared Owl (Northern),Asio flammeus flammeus,WA,3,false,1,"""2022"""
shorebird sp.,Charadriiformes sp.,WA,113,false,1,"""2022"""
Sharp-shinned Hawk,Accipiter striatus,WA,458,false,1,"""2022"""
Sharp-shinned Hawk (Northern),Accipiter striatus [velox Group],WA,14,false,1,"""2022"""
Snow Goose,Anser caerulescens,WA,299,false,1,"""2022"""
Song Sparrow,Melospiza melodia,WA,26821,false,1,"""2022"""
Song Sparrow (rufina Group),Melospiza melodia [rufina Group],WA,7,false,1,"""2022"""
Sora,Porzana carolina,WA,126,false,1,"""2022"""
sparrow sp.,Passerellidae sp. (sparrow sp.),WA,280,false,1,"""2022"""
Spotted Sandpiper,Actitis macularius,WA,766,false,1,"""2022"""
Spotted Towhee,Pipilo maculatus,WA,20749,false,1,"""2022"""
Spotted Towhee (oregonus Group),Pipilo maculatus [oregonus Group],WA,1043,false,1,"""2022"""
Spotted Towhee (maculatus Group),Pipilo maculatus [maculatus Group],WA,4,false,1,"""2022"""
Stellers Jay,Cyanocitta stelleri,WA,12826,false,1,"""2022"""
Stellers Jay (Coastal),Cyanocitta stelleri [stelleri Group],WA,636,false,1,"""2022"""
Surfbird,Calidris virgata,WA,93,false,1,"""2022"""
Surf Scoter,Melanitta perspicillata,WA,2150,false,1,"""2022"""
teal sp.,Anatidae sp. (teal sp.),WA,26,false,1,"""2022"""
thrush sp.,Turdidae sp.,WA,43,false,1,"""2022"""
Townsends Solitaire,Myadestes townsendi,WA,142,false,1,"""2022"""
Townsends Warbler,Setophaga townsendi,WA,1168,false,1,"""2022"""
Trumpeter Swan,Cygnus buccinator,WA,1026,false,1,"""2022"""
Tundra Swan,Cygnus columbianus,WA,102,false,1,"""2022"""
Varied Thrush,Ixoreus naevius,WA,2680,false,1,"""2022"""
Virginia Rail,Rallus limicola,WA,1714,false,1,"""2022"""
Virginia Rail (Virginia),Rallus limicola limicola/friedmanni,WA,60,false,1,"""2022"""
warbler sp. (Parulidae sp.),Parulidae sp.,WA,242,false,1,"""2022"""
waterfowl sp.,Anatidae sp.,WA,167,false,1,"""2022"""
Western Grebe,Aechmophorus occidentalis,WA,1054,false,1,"""2022"""
Western Gull,Larus occidentalis,WA,196,false,1,"""2022"""
Western Meadowlark,Sturnella neglecta,WA,286,false,1,"""2022"""
Western Screech-Owl,Megascops kennicottii,WA,59,false,1,"""2022"""
Western Tanager,Piranga ludoviciana,WA,1823,false,1,"""2022"""
White-crowned Sparrow (Gambels),Zonotrichia leucophrys gambelii,WA,8440,false,1,"""2022"""
White-crowned Sparrow (Gambels),Zonotrichia leucophrys,WA,8440,false,1,"""2022"""
